label,temperature,N,P,K,ph,humidity
rice,20.87974371,90,42,43,6.502985292,82.00274423
rice,21.77046169,85,58,41,7.038096361,80.31964408
rice,23.00445915,60,55,44,7.840207144,82.3207629
rice,26.49109635,74,35,40,6.980400905,80.15836264
rice,20.13017482,78,42,42,7.628472891,81.60487287
rice,23.05804872,69,37,42,7.073453503,83.37011772
rice,22.70883798,69,55,38,5.70080568,82.63941394
rice,20.27774362,94,53,40,5.718627178,82.89408619
rice,24.51588066,89,54,38,6.685346424,83.5352163
rice,23.22397386,68,58,38,6.336253525,83.03322691
rice,26.52723513,91,53,40,5.386167788,81.41753846
rice,23.97898217,90,46,42,7.50283396,81.45061596
rice,26.80079604,78,58,44,5.108681786,80.88684822
rice,24.01497622,93,56,36,6.98435366,82.05687182
rice,25.66585205,94,50,37,6.94801983,80.66385045
rice,24.28209415,60,48,39,7.042299069,80.30025587
rice,21.58711777,85,38,41,6.249050656,82.7883708
rice,23.79391957,91,35,39,6.970859754,80.41817957
rice,21.8652524,77,38,36,5.953933276,80.1923008
rice,23.57943626,88,35,40,5.85393208,83.58760316
rice,21.32504158,89,45,36,6.442475375,80.47476396
rice,25.15745531,76,40,43,5.070175667,83.11713476
rice,21.94766735,67,59,41,6.012632591,80.97384195
rice,21.0525355,83,41,43,6.254028451,82.67839517
rice,23.48381344,98,47,37,7.375482851,81.33265073
rice,25.0756354,66,53,41,7.778915154,80.52389148
rice,26.35927159,97,59,43,6.286500176,84.04403589
rice,24.52922681,97,50,41,7.070959995,80.54498576
rice,20.77576147,60,49,44,6.244841491,84.49774397
rice,22.30157427,84,51,35,6.043304899,80.64416466
rice,21.44653958,73,57,41,5.824709117,84.94375962
rice,22.17931888,92,35,40,6.357389366,80.33127223
rice,24.52783742,85,37,39,6.364134968,82.73685569
rice,20.26707606,98,53,38,5.01450727,81.63895217
rice,25.7354293,88,54,44,6.149410611,83.88266234
rice,26.79533926,95,55,42,5.950660556,82.1480873
rice,26.75754171,99,57,35,5.960370061,81.17734011
rice,23.86330467,95,39,36,5.561398642,83.15250801
rice,21.01944696,60,43,44,7.416245107,82.95221726
rice,24.17298839,63,44,41,5.583370042,83.7287574
rice,22.78133816,62,42,36,6.430010215,82.06719137
rice,25.62980105,64,45,43,5.534878156,83.52842314
rice,25.59704938,83,60,36,6.903985986,80.14509262
rice,23.83067496,82,40,40,6.271478838,84.81360127
rice,26.31355498,85,52,45,7.224285503,82.36698992
rice,24.8972823,91,35,38,6.13428721,80.52586088
rice,24.958779,76,49,42,5.206373153,84.47963372
rice,23.24113501,74,39,38,7.782051313,84.59201843
rice,21.66628296,79,43,39,7.062779015,80.70960551
rice,24.63544858,88,55,45,7.730367824,80.41363018
rice,23.43121862,60,36,43,5.286203711,83.06310136
rice,20.0454142,76,60,39,6.766240045,80.3477562
rice,23.85724032,93,56,42,7.382762603,82.22572988
rice,21.97199397,65,60,43,5.658169482,81.89918197
rice,26.22916897,95,52,36,5.543360238,83.83625819
rice,23.44676801,75,38,39,6.215109715,84.79352417
rice,25.65553461,74,54,38,7.120272972,83.47021081
rice,24.44345477,91,36,45,5.950647577,82.45432595
rice,20.2801937,71,46,40,7.236705436,82.1235421
rice,21.7238313,99,55,35,6.501697816,80.2389895
rice,20.41447029,72,40,38,7.592490617,82.20802629
rice,25.75528612,83,58,45,5.875345751,83.51827127
rice,20.61521424,93,58,38,6.932400225,83.77345559
rice,21.84106875,70,36,42,6.946209881,80.72886384
rice,20.08369642,76,47,42,5.739175027,83.29114712
rice,24.45802087,99,41,36,6.738652179,82.74835604
rice,21.14347496,99,54,37,5.594819626,80.33502926
rice,25.78720567,86,59,35,6.946636369,82.11124033
rice,23.64124821,69,46,41,5.012139669,80.28597873
rice,23.43191632,91,56,37,6.363472208,80.56887849
rice,24.97669518,61,52,41,6.880431223,83.891805
rice,22.72791041,67,45,38,7.300410836,82.1706881
rice,24.87300744,79,42,37,6.587918708,82.84022551
rice,21.32376327,78,43,42,7.283736617,83.00320459
rice,26.29465461,75,54,36,7.023936392,84.56919326
rice,22.2286982,97,36,45,6.939083505,81.85872947
rice,26.73072391,67,47,44,7.868474653,81.78596776
rice,24.88921174,73,35,38,5.005306977,81.97927117
rice,26.88444878,77,36,37,6.136131869,81.46033732
rice,22.67846116,81,41,38,7.524080076,83.72874389
rice,26.08867875,68,57,43,5.706943251,80.37979919
rice,25.42977518,72,45,35,5.758506323,82.94682591
rice,26.40323239,61,53,43,6.349606327,81.05635517
rice,26.04371967,67,43,39,5.999969026,84.96907151
rice,25.2827223,67,58,39,5.453592032,80.54372813
rice,22.08576562,66,60,38,6.372576327,83.47038318
rice,23.28617173,82,43,38,5.105588355,81.43321641
rice,25.48591986,84,50,44,5.935344406,81.40633547
rice,23.67575393,81,53,42,5.17782304,81.03569343
rice,20.82477109,91,50,40,6.462391607,84.1341879
rice,26.92995077,93,53,38,7.069172227,81.91411159
rice,23.83509503,90,44,38,7.473134377,83.88387074
rice,26.52872817,81,45,35,6.158376967,80.12267476
rice,26.46428311,78,40,38,7.549873681,83.85642678
rice,22.69657794,60,51,36,6.028321558,82.81088865
rice,22.68319059,88,46,42,6.604993475,83.46358271
rice,21.53346343,93,47,37,6.500343222,82.14004101
rice,21.40865769,60,55,45,5.935745417,83.3293191
rice,26.54348085,78,35,44,7.072655622,84.67353597
rice,23.35905428,65,37,40,5.333322606,83.59512273
maize,22.61359953,71,54,16,5.749914421,63.69070564
maize,26.10018422,61,44,17,6.931756558,71.57476937
maize,23.55882094,80,43,16,6.657964753,71.59351368
maize,19.97215954,73,58,21,6.596060648,57.68272924
maize,18.47891261,61,38,20,5.970458434,62.69503871
maize,21.77689322,68,41,16,6.158830619,57.80840636
maize,25.6217169,93,41,17,6.047906679,66.50415474
maize,25.19192419,89,60,19,5.913664501,66.6902901
maize,20.41683147,76,44,17,5.855442401,62.5542482
maize,24.92162194,67,60,25,5.750254943,66.78627406
maize,23.31689124,70,44,19,5.852607099,73.4541537
maize,24.84016732,90,49,21,6.472523287,68.3584573
maize,22.27526694,62,52,16,6.967057762,58.84015925
maize,18.87751445,92,44,16,6.082973754,65.76816093
maize,25.19008683,66,54,21,5.919045532,60.2001687
maize,18.25405352,63,58,22,6.204747653,55.28220433
maize,24.6129118,70,47,17,6.600827017,70.4162444
maize,25.1420613,61,41,17,6.021902237,65.26185135
maize,23.09348056,66,53,19,6.033550195,60.1159381
maize,18.05033737,74,55,19,6.28886807,62.89366992
maize,24.9321581,77,57,21,6.550563823,73.80435276
maize,18.14710054,99,50,15,5.573286437,71.09445342
maize,18.28362235,74,56,22,6.829199275,66.65952796
maize,18.83344471,83,45,21,5.716222912,58.75082029
maize,25.71895816,100,48,16,5.54990242,67.22190688
maize,25.33797709,79,51,16,6.586244581,68.49835977
maize,23.89114571,94,39,18,5.893093135,57.48775781
maize,21.53574127,75,49,15,5.918263801,71.50905983
maize,23.08974909,78,48,22,5.588650585,63.10459626
maize,25.61707368,87,54,20,6.576418207,63.4711755
maize,21.44526922,87,35,25,6.178056304,63.1621551
maize,18.51816776,63,43,19,6.641906353,55.53128131
maize,22.53510514,84,57,25,6.489040367,67.99257471
maize,23.02038334,64,35,23,5.680361038,61.89472002
maize,24.89364635,60,46,22,6.625404348,65.61418761
maize,25.77175115,98,44,21,6.524478032,74.089114
maize,19.39851734,75,56,18,5.696205468,62.35750641
maize,21.54156232,86,55,21,6.803931519,59.64024162
maize,23.79746068,98,35,18,6.252797548,74.82913698
maize,18.9802729,76,57,18,6.092725883,74.52600826
maize,24.10859207,99,56,17,6.234330356,73.13112261
maize,24.7947077,60,44,23,5.722579819,70.04556743
maize,21.63162756,74,48,17,6.430616465,60.27766379
maize,25.37548751,89,60,17,5.983952675,57.21025565
maize,22.21738222,69,51,23,6.80163854,72.85462807
maize,20.58314011,96,46,22,6.499936446,69.00128641
maize,24.87502824,61,60,15,6.265564338,68.74248334
maize,20.03728219,74,58,18,6.727303282,56.35606753
maize,25.95263264,74,43,23,6.325235159,61.89082199
maize,19.28889933,63,43,17,6.807487794,65.47050802
maize,20.57981887,99,36,20,6.671085817,65.34583901
maize,24.71417533,77,36,23,6.648725327,56.73426469
maize,20.27317074,87,60,23,6.439071996,63.91281869
maize,18.41932981,60,38,17,6.474476516,64.23580251
maize,23.39128187,94,54,17,5.871647806,61.74427165
maize,19.84939404,95,38,22,5.730617109,61.24500053
maize,21.869274,84,44,21,5.850439831,61.91044947
maize,22.8056033,77,58,19,5.791649933,56.50768935
maize,19.0781471,66,44,20,6.740000688,69.02298571
maize,22.02720976,63,35,16,6.272417541,65.35549924
maize,23.80546189,79,45,20,5.715208817,59.24537979
maize,18.52510753,72,60,25,5.773454729,69.0276233
maize,23.50297882,67,51,24,5.584171461,61.32026065
maize,26.54986394,86,36,24,5.787268394,72.89187265
